Actual,Predicted
30892,26583.94
17871,19533.695
19894,15125.585
30022,27843.345
22281,19772.025
10968,14866.655
22112,25905.29
21023,23756.865
32036,25192.615
11547,13450.855
25391,28107.22
12139,12827.345
35636,29839.185
6170,8705.935
9636,10788.265
25487,22883.665
14180,19623.16
33458,26548.015
12773,16543.985
29656,27887.655
14614,22742.32
11366,9834.46
21556,19068.39
11934,15433.06
26949,29486.6
25139,22381.08
27758,25981.975
20604,17969.52
13786,15599.96
26638,23804.96
18897,15971.975
19055,20185.245
26759,27867.57
19411,18491.23
27659,22449.975
19514,24488.915
22090,17346.465
26514,23249.3
9438,12131.795
23002,21806.165
30247,26914.14
24813,20247.45
12746,13190.58
8504,7154.235
17406,18933.095
15998,20932.56
34345,27321.455
15894,16781.19
25466,26769.565
25123,21327.635
19890,16369.62
16171,16515.69
8507,11263.955
20742,17066.125
21046,23259.735
21311,20370.5
27196,28246.78
16707,20101.315
19235,21841.545
30267,29279.95
8006,9738.2
10953,12844.61
12657,13286.025
14624,16978.92
11743,10478.77
11443,14023.13
21198,24814.08
14867,16817.135
18588,23057.47
11548,13207.295
18437,15242.585
17294,15332.69
13548,11472.08
21048,24838.345
32023,28725.995
12708,14686.695
24431,19096.12
23232,20985.425
23675,27084.33
23866,20464.935
25071,28826.845
14100,17374.095
23108,25942.67
7103,6709.05
25252,35414.475
13563,14013.855
24141,32998.115
15240,11796.83
32018,25890.07
23716,20124.685
22637,21771.465
25116,28363.175
24077,20079.195
17564,13506.53
9711,12841.975
17616,22313.45
32024,23742.21
12675,17001.41
21211,26678.68
22869,17740.185
21596,20671.9
35274,29855.33
29228,29226.525
31358,26795.62
18970,27324.475
31368,26801.89
15382,14318.385
10273,13159.135
37101,28039.82
12782,13885.79
10761,11320.52
21157,21102.615
25138,18574.88
28025,19579.58
23270,24928.29
27857,21146.145
10894,12317.835
36503,28061.85
26747,22993.82
24260,23162.075
11553,13898.885
34104,33311.17
13433,11530.21
29744,27256.495
24662,21555.18
16130,16174.96
18321,16875.63
30665,26561.93
16834,25782.28
18634,25820.045
31475,28609.555
33225,26204.095
25827,29602.725
25428,27734.95
26001,31928.48
16030,17145.995
26768,26963.82
23120,27703.965
9304,11470.805
16208,11252.58
34465,28370.305
14907,11720.165
15855,18912.605
30187,24447.095
30420,25741.49
23510,27663.735
16550,11185.72
15620,13184.875
9357,11655.885
12773,16427.125
11490,12510.21
20618,26355.19
27423,23243.645
15270,17428.03
13637,16542.04
10524,11282.71
33342,27924.26
8170,6514.375
20515,18993.065
19391,25624.0
12396,13397.97
13683,18349.755
26094,31020.09
22050,21233.3
12164,14074.145
21054,28368.845
38312,29986.4
14902,15538.53
14202,17266.37
21087,27777.185
17939,17512.85
16314,15867.47
23012,20484.84
28991,25843.4
15351,16928.11
30494,27327.93
11788,11663.51
14846,11197.735
18484,15748.875
15888,16090.605
23343,17316.22
25193,19510.97
26958,19283.11
15732,19066.015
10837,8803.38
23298,28098.36
24547,23246.42
25645,24322.71
26747,25810.47
14677,16408.05
19024,21728.74
14671,12731.075
15984,15834.12
9421,10499.9
31576,27838.065
10817,12239.655
24796,29847.44
21624,21574.87
25966,20332.56
19108,25807.315
