Date,Crop,Category,Market,District,State,Min_Price,Max_Price,Modal_Price,Quantity
2024-01-01,Watermelon,Fruits,Dharwad APMC,Tumakuru,Karnataka,2492,16950,7584,290
2024-01-02,Cabbage,Vegetables,Mysuru APMC,Chikkamagaluru,Karnataka,1660,16967,8949,804
2024-01-03,Sunflower,Oilseeds,Hassan APMC,Mysuru,Karnataka,2348,30773,14483,579
2024-01-04,Green Gram,Pulses,Chikkamagaluru APMC,Chitradurga,Karnataka,8851,47124,34294,532
2024-01-05,Cotton,Commercial Crops,Shivamogga APMC,Belagavi,Karnataka,8156,56662,23890,236
2024-01-06,Watermelon,Fruits,Dharwad APMC,Hassan,Karnataka,3044,18712,12094,907
2024-01-07,Copra,Plantation,Davanagere APMC,Tumakuru,Karnataka,8368,44302,21775,705
2024-01-08,Tomato,Vegetables,Dharwad APMC,Davangere,Karnataka,4516,22213,12084,311
2024-01-09,Horse Gram,Pulses,Thirthahalli APMC,Vijayapura,Karnataka,5577,39994,21622,413
2024-01-10,Horse Gram,Pulses,Shivamogga APMC,Davangere,Karnataka,1727,28173,19266,540
2024-01-11,Onion,Vegetables,Mysuru APMC,Tumakuru,Karnataka,8468,29219,16707,480
2024-01-12,Guava,Fruits,Hubballi APMC,Davangere,Karnataka,1342,18694,7181,288
2024-01-13,Turmeric,Commercial Crops,Hubballi APMC,Chitradurga,Karnataka,2447,25963,12500,353
2024-01-14,Onion,Vegetables,Hassan APMC,Mysuru,Karnataka,7581,40880,18965,347
2024-01-15,Jola (Jowar),Cereals,Hassan APMC,Davangere,Karnataka,7317,49274,22062,125
2024-01-16,Tobacco,Commercial Crops,Bengaluru APMC,Dharwad,Karnataka,1526,40453,22139,749
2024-01-17,Rice (Akki),Cereals,Hassan APMC,Belagavi,Karnataka,7748,54160,22802,382
2024-01-18,Onion,Vegetables,Sagar APMC,Davangere,Karnataka,1405,40898,13742,949
2024-01-19,Cauliflower,Vegetables,Chikkamagaluru APMC,Belagavi,Karnataka,8986,45697,30490,807
2024-01-20,Grapes,Fruits,Chitradurga APMC,Kalaburagi,Karnataka,4740,22743,12745,691
2024-01-21,Rice (Akki),Cereals,Bhadravati APMC,Bengaluru,Karnataka,2846,44553,17450,523
2024-01-22,Cotton,Commercial Crops,Tumakuru APMC,Shivamogga,Karnataka,2478,15756,7808,876
2024-01-23,Banana,Fruits,Kalaburagi APMC,Mysuru,Karnataka,1771,19067,11402,972
2024-01-24,Cowpea,Pulses,Bhadravati APMC,Chitradurga,Karnataka,6525,41923,21046,332
2024-01-25,Tobacco,Commercial Crops,Raichur APMC,Shivamogga,Karnataka,9770,55612,32591,640
2024-01-26,Potato,Vegetables,Chikkamagaluru APMC,Chitradurga,Karnataka,1193,24454,9304,121
2024-01-27,Beans,Vegetables,Udupi APMC,Bengaluru,Karnataka,3007,24180,14340,312
2024-01-28,Brinjal,Vegetables,Tumakuru APMC,Chitradurga,Karnataka,2185,42634,19434,752
2024-01-29,Soybean,Oilseeds,Chitradurga APMC,Kalaburagi,Karnataka,3394,15031,9804,928
2024-01-30,Sunflower,Oilseeds,Shivamogga APMC,Mysuru,Karnataka,5005,46786,31050,936
2024-01-31,Jola (Jowar),Cereals,Raichur APMC,Tumakuru,Karnataka,8429,32081,21311,991
2024-02-01,Pomegranate,Fruits,Chikkamagaluru APMC,Tumakuru,Karnataka,3261,18364,9579,624
2024-02-02,Toor Dal,Pulses,Kalaburagi APMC,Belagavi,Karnataka,4736,40236,19018,941
2024-02-03,Cotton,Commercial Crops,Raichur APMC,Bengaluru,Karnataka,7716,52516,27023,61
2024-02-04,Black Gram,Pulses,Tumakuru APMC,Belagavi,Karnataka,5875,51404,22532,190
2024-02-05,Watermelon,Fruits,Raichur APMC,Kalaburagi,Karnataka,9921,38373,20518,815
2024-02-06,Coconut,Plantation,Hassan APMC,Hassan,Karnataka,5378,46552,30753,604
2024-02-07,Maize,Cereals,Raichur APMC,Davangere,Karnataka,8815,54251,29438,66
2024-02-08,Potato,Vegetables,Mysuru APMC,Udupi,Karnataka,4451,30405,16764,112
2024-02-09,Sesame,Oilseeds,Raichur APMC,Hassan,Karnataka,8616,35802,23232,302
2024-02-10,Black Gram,Pulses,Tumakuru APMC,Davangere,Karnataka,3800,26156,15780,514
2024-02-11,Carrot,Vegetables,Shivamogga APMC,Mysuru,Karnataka,9333,52296,23380,425
2024-02-12,Rice (Akki),Cereals,Belagavi APMC,Belagavi,Karnataka,6410,18597,14120,853
2024-02-13,Sugarcane,Commercial Crops,Raichur APMC,Mysuru,Karnataka,2455,24162,10507,569
2024-02-14,Brinjal,Vegetables,Belagavi APMC,Kalaburagi,Karnataka,7892,52990,34465,886
2024-02-15,Toor Dal,Pulses,Vijayapura APMC,Raichur,Karnataka,6808,43743,29304,139
2024-02-16,Green Gram,Pulses,Mysuru APMC,Raichur,Karnataka,7796,39021,26093,769
2024-02-17,Papaya,Fruits,Kalaburagi APMC,Raichur,Karnataka,5796,19402,13029,853
2024-02-18,Sesame,Oilseeds,Shivamogga APMC,Kalaburagi,Karnataka,6093,48921,19192,845
2024-02-19,Arecanut (Betel Nut),Plantation,Dharwad APMC,Chitradurga,Karnataka,2325,38814,18532,679
2024-02-20,Guava,Fruits,Hubballi APMC,Mysuru,Karnataka,5976,30363,19192,910
2024-02-21,Turmeric,Commercial Crops,Kalaburagi APMC,Davangere,Karnataka,2159,16086,8496,224
2024-02-22,Maize,Cereals,Bhadravati APMC,Kalaburagi,Karnataka,5650,21946,16167,125
2024-02-23,Rice (Akki),Cereals,Raichur APMC,Raichur,Karnataka,5987,46431,23116,662
