Date,Crop,Category,Market,District,State,Min_Price,Max_Price,Modal_Price,Quantity
01-01-2024,Watermelon,Fruits,Dharwad APMC,Tumakuru,Karnataka,2492,16950,7584,290
02-01-2024,Cabbage,Vegetables,Mysuru APMC,Chikkamagaluru,Karnataka,1660,16967,8949,804
03-01-2024,Sunflower,Oilseeds,Hassan APMC,Mysuru,Karnataka,2348,30773,14483,579
04-01-2024,Green Gram,Pulses,Chikkamagaluru APMC,Chitradurga,Karnataka,8851,47124,34294,532
05-01-2024,Cotton,Commercial Crops,Shivamogga APMC,Belagavi,Karnataka,8156,56662,23890,236
06-01-2024,Watermelon,Fruits,Dharwad APMC,Hassan,Karnataka,3044,18712,12094,907
07-01-2024,Copra,Plantation,Davanagere APMC,Tumakuru,Karnataka,8368,44302,21775,705
08-01-2024,Tomato,Vegetables,Dharwad APMC,Davangere,Karnataka,4516,22213,12084,311
09-01-2024,Horse Gram,Pulses,Thirthahalli APMC,Vijayapura,Karnataka,5577,39994,21622,413
10-01-2024,Horse Gram,Pulses,Shivamogga APMC,Davangere,Karnataka,1727,28173,19266,540
11-01-2024,Onion,Vegetables,Mysuru APMC,Tumakuru,Karnataka,8468,29219,16707,480
12-01-2024,Guava,Fruits,Hubballi APMC,Davangere,Karnataka,1342,18694,7181,288
13-01-2024,Turmeric,Commercial Crops,Hubballi APMC,Chitradurga,Karnataka,2447,25963,12500,353
14-01-2024,Onion,Vegetables,Hassan APMC,Mysuru,Karnataka,7581,40880,18965,347
15-01-2024,Jola (Jowar),Cereals,Hassan APMC,Davangere,Karnataka,7317,49274,22062,125
16-01-2024,Tobacco,Commercial Crops,Bengaluru APMC,Dharwad,Karnataka,1526,40453,22139,749
17-01-2024,Rice (Akki),Cereals,Hassan APMC,Belagavi,Karnataka,7748,54160,22802,382
18-01-2024,Onion,Vegetables,Sagar APMC,Davangere,Karnataka,1405,40898,13742,949
19-01-2024,Cauliflower,Vegetables,Chikkamagaluru APMC,Belagavi,Karnataka,8986,45697,30490,807
20-01-2024,Grapes,Fruits,Chitradurga APMC,Kalaburagi,Karnataka,4740,22743,12745,691
21-01-2024,Rice (Akki),Cereals,Bhadravati APMC,Bengaluru,Karnataka,2846,44553,17450,523
22-01-2024,Cotton,Commercial Crops,Tumakuru APMC,Shivamogga,Karnataka,2478,15756,7808,876
